iso3,Country.x,country,iso2
SRB,Serbia,serbia,SB 
SSD,South Sudan,south sudan,CV 
STP,Sao Tome and Principe,sao tome and principe,LU 
SUR,Suriname,suriname,SR 
SVK,Slovakia,slovakia,MO 
SVN,Slovenia,slovenia,MT 
SWE,Sweden,sweden,MV 
SWZ,Swaziland,swaziland,BN 
SYC,Seychelles,seychelles,BZ 
SYR,Syrian Arab Republic,syrian arab republic,IS 
,Syria,syria,BS 
TCD,Chad,chad,BB 
TGO,Togo,togo,EH 
THA,Thailand,thailand,PF 
TJK,Tajikistan,tajikistan,VU 
TKM,Turkmenistan,turkmenistan,NC 
TLS,Timor-Leste,timor-leste,WS 
TON,Tonga,tonga,ST 
TTO,Trinidad and Tobago,trinidad and tobago,LC 
TUN,Tunisia,tunisia,GU 
TUR,Turkey,turkey,YT 
TUV,Tuvalu,tuvalu,CW 
TWN,Taiwan,taiwan,AN 
TZA,United Republic of Tanzania,united republic of tanzania,TO 
,Tanzania,tanzania,VI 
UGA,Uganda,uganda,GD 
UKR,Ukraine,ukraine,FM 
URY,Uruguay,uruguay,VC 
USA,United States of America,united states of america,KI 
,America,america,JE 
UZB,Uzbekistan,uzbekistan,SC 
VCT,Saint Vincent and the Grenadines,saint vincent and the grenadines,AG 
VEN,Venezuela,venezuela,AD 
VNM,Viet Nam,viet nam,IM 
,Vietnam,vietnam,DM 
VUT,Vanuatu,vanuatu,AW 
YEM,Yemen,yemen,MH 
ZAF,South Africa,south africa,BM 
ZMB,Zambia,zambia,GG 
ZWE,Zimbabwe,zimbabwe,AS 
,,,GL 
,,,MP 
,,,KN 
,,,FO 
,,,KY 
,,,SX 
,,,MF 
,,,LI 
,,,MC 
,,,SM 
,,,GI 
,,,VG 
,,,CK 
,,,TC 
,,,PW 
,,,WF 
,,,AI 
,,,TV 
,,,NR 
,,,MS 
,,,BL 
,,,SH 
,,,PM 
,,,IO 
,,,FK 
,,,SJ 
,,,NU 
,,,CX 
,,,TK 
,,,VA 
,,,CC 
,,,PN 
,,,AQ 
